Component,Technology,Why Choose,Learning Curve,Community Support,Cost
Frontend,React.js,"Component-based, large ecosystem, excellent for SPAs",Medium,Excellent,Free
Frontend Styling,Tailwind CSS,"Utility-first, fast development, mobile-responsive",Low,Excellent,Free
Backend,Node.js + Express,"JavaScript everywhere, fast, scalable, large ecosystem",Medium,Excellent,Free
Database,MongoDB Atlas,"Flexible schema, free tier, cloud-hosted, scales easily",Low-Medium,Excellent,Free (512MB) → ₹3k/month
Authentication,JWT + bcrypt,"Secure, stateless, industry standard",Medium,Excellent,Free
File Storage,Cloudinary,"Free tier 25GB, auto-optimization, CDN included",Low,Good,Free → ₹1.5k/month
Hosting (Frontend),Vercel,"Free for personal, auto-deploy from GitHub, fast CDN",Very Low,Excellent,Free
Hosting (Backend),Render/Railway,"Free tier, easy deployment, supports Node.js",Low,Good,Free
Email Service,Brevo (Sendinblue),"300 emails/day free, templates, analytics",Low,Good,Free → ₹2k/month
Payment Gateway,Razorpay,"India-specific, UPI support, 2% fee, easy integration",Medium,Excellent (India),2% per transaction
Analytics,Google Analytics 4,"Free, comprehensive, industry standard",Medium,Excellent,Free
Search Functionality,MongoDB Text Search,"Built-in, no extra service needed initially",Low,Good,Free
